"","event_name","event_code"
"1","10000",14
"2","55",1
"3","60",2
"4","100",3
"5","200",4
"6","400",5
"7","500",6
"8","600",7
"9","800",8
"10","1000",9
"11","1500",10
"12","Mile",11
"13","3000",12
"14","5000",13
"15","10,000",14
"16","55H",15
"17","60H",16
"18","110H",17
"19","400H",18
"20","3000S",19
"21","4x100",20
"22","4x400",21
"23","4x800",22
"24","DMR",23
"25","HJ",24
"26","PV",25
"27","LJ",26
"28","TJ",27
"29","SP",28
"30","DT",29
"31","HT",30
"32","JT",31
"33","WT",32
"34","Dec",33
"35","Hep",34
"36","SMR",35
"37","Pent",36
